Customer ID,Churn Label,Contract,Monthly Charge,Tenure in Months,Payment Method,Total Revenue,Internet Service
5609-CEBID,Yes,Month-to-Month,94.1,20,Bank Withdrawal,2837.0,Yes
5956-VKDTT,Yes,Month-to-Month,74.35,5,Bank Withdrawal,563.6,Yes
0257-ZESQC,Yes,Month-to-Month,75.2,27,Bank Withdrawal,2118.89,Yes
2865-TCHJW,Yes,Month-to-Month,89.2,4,Bank Withdrawal,539.6,Yes
5192-EBGOV,Yes,Month-to-Month,85.7,1,Bank Withdrawal,131.51,Yes
3419-SNJJD,Yes,Month-to-Month,105.25,65,Bank Withdrawal,7981.75,Yes
4554-YGZIH,Yes,Month-to-Month,90.05,49,Credit Card,5670.33,Yes
5099-BAILX,Yes,Month-to-Month,110.75,43,Bank Withdrawal,5312.259999999999,Yes
4913-EHYUI,Yes,One Year,104.55,56,Bank Withdrawal,8527.449999999999,Yes
1626-ERCMM,Yes,Month-to-Month,94.55,20,Bank Withdrawal,2005.85,Yes
5644-PDMZC,Yes,Month-to-Month,89.5,2,Bank Withdrawal,256.44,Yes
4160-AMJTL,Yes,Month-to-Month,19.65,8,Bank Withdrawal,387.9,No
0823-HSCDJ,Yes,Month-to-Month,49.15,52,Bank Withdrawal,2580.9,Yes
0067-DKWBL,Yes,Month-to-Month,49.25,2,Bank Withdrawal,179.07999999999998,Yes
5244-IRFIH,Yes,Month-to-Month,94.5,33,Bank Withdrawal,4022.29,Yes
2684-EIWEO,Yes,Month-to-Month,91.7,30,Credit Card,4134.55,Yes
6683-VLCTZ,Yes,Month-to-Month,98.55,20,Bank Withdrawal,2851.6,Yes
0691-IFBQW,Yes,One Year,110.0,46,Bank Withdrawal,4983.820000000001,Yes
3643-AHCFP,Yes,Month-to-Month,95.6,7,Bank Withdrawal,797.72,Yes
9231-ZJYAM,Yes,Month-to-Month,78.85,4,Bank Withdrawal,440.52,Yes
0727-BMPLR,Yes,One Year,100.0,55,Bank Withdrawal,7665.200000000001,Yes
0947-MUGVO,Yes,Month-to-Month,73.65,20,Bank Withdrawal,1570.9,Yes
0781-LKXBR,Yes,Month-to-Month,100.5,9,Bank Withdrawal,1356.99,Yes
1907-UBQFC,Yes,Month-to-Month,72.85,10,Bank Withdrawal,773.25,Yes
6513-EECDB,Yes,Month-to-Month,73.55,1,Bank Withdrawal,110.47,Yes
7074-IEVOJ,Yes,Month-to-Month,79.4,3,Bank Withdrawal,330.75,Yes
4750-ZRXIU,Yes,Month-to-Month,84.6,4,Bank Withdrawal,386.8200000000001,Yes
7028-DVOIQ,Yes,Month-to-Month,99.05,35,Bank Withdrawal,4244.85,Yes
4208-UFFGW,Yes,Month-to-Month,44.95,2,Credit Card,138.39,Yes
9889-TMAHG,Yes,Month-to-Month,100.3,8,Credit Card,924.91,Yes
8919-FYFQZ,Yes,Month-to-Month,30.35,44,Bank Withdrawal,1359.7,Yes
6646-QVXLR,Yes,One Year,103.75,62,Bank Withdrawal,6824.17,Yes
9369-XFEHK,Yes,Month-to-Month,80.6,33,Bank Withdrawal,3751.77,Yes
1374-DMZUI,Yes,Month-to-Month,94.3,4,Bank Withdrawal,622.45,Yes
1989-PRJHP,Yes,Month-to-Month,75.5,27,Bank Withdrawal,2180.15,Yes
4822-RVYBB,Yes,Month-to-Month,100.6,8,Bank Withdrawal,1143.0,Yes
4184-TJFAN,Yes,Month-to-Month,88.3,3,Mailed Check,351.06,Yes
4145-UQXUQ,Yes,Month-to-Month,92.1,8,Bank Withdrawal,1073.39,Yes
1236-WFCDV,Yes,Month-to-Month,90.45,14,Credit Card,1424.4399999999998,Yes
1271-SJBGZ,Yes,Month-to-Month,43.65,12,Bank Withdrawal,526.95,Yes
4441-NIHPT,Yes,Month-to-Month,74.3,13,Bank Withdrawal,1465.16,Yes
8999-BOHSE,Yes,Month-to-Month,89.7,11,Bank Withdrawal,1091.26,Yes
7029-RPUAV,Yes,Month-to-Month,100.45,17,Credit Card,2101.51,Yes
8111-SLLHI,Yes,Month-to-Month,105.65,39,Bank Withdrawal,5581.55,Yes
5293-WXJAK,Yes,Month-to-Month,104.05,11,Bank Withdrawal,1323.4,Yes
4086-YQSNZ,Yes,Month-to-Month,80.4,3,Bank Withdrawal,233.92,Yes
8399-YNDCH,Yes,Month-to-Month,60.05,21,Bank Withdrawal,1963.17,Yes
5565-FILXA,Yes,Month-to-Month,96.15,16,Bank Withdrawal,2149.2,Yes
4187-CINZD,Yes,One Year,95.25,46,Credit Card,4706.18,Yes
6818-WOBHJ,Yes,Month-to-Month,89.6,68,Bank Withdrawal,7768.44,Yes
9134-CEQMF,Yes,Month-to-Month,89.5,7,Bank Withdrawal,772.11,Yes
8519-IMDHU,Yes,Month-to-Month,85.6,15,Bank Withdrawal,2024.3,Yes
3372-KWFBM,Yes,Month-to-Month,86.6,16,Bank Withdrawal,1587.88,Yes
7206-GZCDC,Yes,Month-to-Month,69.25,1,Bank Withdrawal,98.93,Yes
1768-ZAIFU,Yes,Month-to-Month,25.2,1,Bank Withdrawal,25.2,Yes
3793-MMFUH,Yes,Month-to-Month,95.05,13,Bank Withdrawal,1537.39,Yes
6567-HOOPW,Yes,Month-to-Month,79.2,1,Bank Withdrawal,99.26,Yes
8621-MNIHH,Yes,Month-to-Month,94.25,34,Bank Withdrawal,3315.4700000000003,Yes
5419-CONWX,Yes,Month-to-Month,99.8,4,Credit Card,493.5700000000001,Yes
7024-OHCCK,Yes,Month-to-Month,93.85,2,Bank Withdrawal,209.39,Yes
5357-TZHPP,Yes,Month-to-Month,84.4,9,Credit Card,1009.7,Yes
0506-LVNGN,Yes,Month-to-Month,75.55,5,Credit Card,561.3,Yes
9809-IMGCQ,Yes,Month-to-Month,96.7,22,Bank Withdrawal,3066.91,Yes
3254-YRILK,Yes,Month-to-Month,88.2,19,Bank Withdrawal,2535.23,Yes
0529-ONKER,Yes,Month-to-Month,75.65,15,Bank Withdrawal,1842.35,Yes
5240-IJOQT,Yes,Month-to-Month,74.7,1,Bank Withdrawal,86.04,Yes
0661-XEYAN,Yes,Month-to-Month,25.8,1,Mailed Check,45.8,Yes
2660-EMUBI,Yes,Month-to-Month,95.35,10,Bank Withdrawal,1312.05,Yes
7675-OZCZG,Yes,Month-to-Month,45.0,3,Bank Withdrawal,227.52,Yes
9391-EOYLI,Yes,Month-to-Month,80.45,12,Bank Withdrawal,1033.84,Yes
2761-OCIAX,Yes,Month-to-Month,74.7,2,Bank Withdrawal,178.42000000000002,Yes
3068-OMWZA,Yes,Month-to-Month,88.8,1,Bank Withdrawal,148.4,Yes
4154-AQUGT,Yes,Month-to-Month,89.05,13,Bank Withdrawal,1188.4599999999998,Yes
8017-LXHFA,Yes,Month-to-Month,94.75,23,Bank Withdrawal,3010.51,Yes
4248-QPAVC,Yes,Month-to-Month,85.35,17,Bank Withdrawal,2089.3900000000003,Yes
4690-LLKUA,Yes,Month-to-Month,45.05,17,Bank Withdrawal,1466.41,Yes
9490-DFPMD,Yes,Month-to-Month,84.65,42,Bank Withdrawal,3941.61,Yes
8580-AECUZ,Yes,Month-to-Month,79.1,1,Bank Withdrawal,121.4,Yes
5047-LHVLY,Yes,Month-to-Month,50.15,1,Mailed Check,89.93,Yes
8375-DKEBR,Yes,Month-to-Month,69.6,1,Bank Withdrawal,104.11,Yes
7279-BUYWN,Yes,Month-to-Month,113.2,41,Bank Withdrawal,5835.45,Yes
7156-MHUGY,Yes,Month-to-Month,90.5,13,Bank Withdrawal,1650.7400000000002,Yes
9606-PBKBQ,Yes,Month-to-Month,85.0,32,Bank Withdrawal,2784.16,Yes
3536-IQCTX,Yes,Month-to-Month,85.3,32,Bank Withdrawal,4248.3,Yes
3132-TVFDZ,Yes,Month-to-Month,44.85,57,Bank Withdrawal,2560.88,Yes
8080-DDEMJ,Yes,Month-to-Month,45.1,1,Bank Withdrawal,60.38,Yes
6702-OHFWR,Yes,Month-to-Month,43.3,1,Bank Withdrawal,43.3,Yes
4510-PYUSH,Yes,Month-to-Month,57.15,38,Credit Card,3242.4500000000003,Yes
8840-DQLGN,Yes,Month-to-Month,100.5,35,Bank Withdrawal,4212.65,Yes
4193-ORFCL,Yes,Month-to-Month,45.1,1,Credit Card,60.34,Yes
7776-QWNFX,Yes,Month-to-Month,50.4,30,Bank Withdrawal,1667.0,Yes
6689-TCZHQ,Yes,Month-to-Month,78.95,5,Bank Withdrawal,439.75,Yes
9497-QCMMS,Yes,Month-to-Month,93.55,1,Bank Withdrawal,123.72,Yes
3424-NMNBO,Yes,One Year,108.85,58,Bank Withdrawal,9151.29,Yes
4514-GFCFI,Yes,Month-to-Month,84.75,16,Bank Withdrawal,1630.3100000000002,Yes
8000-REIQB,Yes,Month-to-Month,69.95,1,Bank Withdrawal,102.45,Yes
4795-KTRTH,Yes,Month-to-Month,81.0,5,Bank Withdrawal,577.41,Yes
9961-JBNMK,Yes,Month-to-Month,96.8,21,Bank Withdrawal,2907.77,Yes
6179-GJPSO,Yes,Month-to-Month,108.15,43,Credit Card,5969.389999999999,Yes
8290-YWKHZ,Yes,Month-to-Month,93.2,32,Bank Withdrawal,3992.8,Yes
8051-HJRLT,Yes,Month-to-Month,70.55,1,Bank Withdrawal,88.75,Yes
4021-RQSNY,Yes,Month-to-Month,98.5,29,Bank Withdrawal,3754.22,Yes
9061-TIHDA,Yes,Month-to-Month,95.25,13,Bank Withdrawal,1597.66,Yes
8699-ASUFO,Yes,Month-to-Month,74.4,7,Credit Card,557.88,Yes
4695-WJZUE,Yes,Month-to-Month,88.55,2,Bank Withdrawal,222.39,Yes
3988-RQIXO,Yes,Month-to-Month,91.3,1,Bank Withdrawal,134.91,Yes
5931-FLJJF,Yes,Month-to-Month,70.1,7,Credit Card,559.67,Yes
3207-OYBWH,Yes,Month-to-Month,95.25,57,Bank Withdrawal,8259.33,Yes
7216-EWTRS,Yes,Month-to-Month,100.8,1,Bank Withdrawal,118.15,Yes
2528-HFYZX,Yes,Month-to-Month,76.45,17,Bank Withdrawal,1251.25,Yes
4140-MUHUG,Yes,Month-to-Month,86.85,3,Bank Withdrawal,276.09,Yes
1587-FKLZB,Yes,Month-to-Month,99.5,66,Credit Card,8726.91,Yes
5440-FLBQG,Yes,Two Year,108.4,69,Bank Withdrawal,10690.92,Yes
2774-LVQUS,Yes,Month-to-Month,83.05,15,Bank Withdrawal,2030.25,Yes
4612-THJBS,Yes,One Year,104.75,56,Bank Withdrawal,7447.129999999999,Yes
4094-NSEDU,Yes,Month-to-Month,94.25,21,Bank Withdrawal,2417.9,Yes
1846-XWOQN,Yes,Month-to-Month,70.15,1,Bank Withdrawal,118.12,Yes
3757-NJYBX,Yes,Month-to-Month,106.35,32,Bank Withdrawal,3774.19,Yes
9898-KZQDZ,Yes,Month-to-Month,94.55,40,Credit Card,5620.45,Yes
8263-JQAIK,Yes,Month-to-Month,24.45,2,Credit Card,47.5,Yes
2205-YMZZJ,Yes,Month-to-Month,84.8,7,Bank Withdrawal,823.52,Yes
1254-IZEYF,Yes,Month-to-Month,99.95,31,Bank Withdrawal,4406.81,Yes
9221-OTIVJ,Yes,Month-to-Month,104.85,14,Bank Withdrawal,1950.84,Yes
5908-QMGOE,Yes,Month-to-Month,74.2,15,Credit Card,1443.5400000000002,Yes
0397-GZBBC,Yes,Month-to-Month,93.85,59,Bank Withdrawal,6202.639999999999,Yes
7641-EUYET,Yes,Month-to-Month,100.7,46,Bank Withdrawal,6753.619999999999,Yes
8922-LIEGH,Yes,Month-to-Month,89.7,25,Bank Withdrawal,3073.2200000000003,Yes
8245-UMPYT,Yes,Month-to-Month,96.4,16,Bank Withdrawal,2047.76,Yes
5186-SAMNZ,Yes,Month-to-Month,69.5,1,Bank Withdrawal,190.7,Yes
5373-SFODM,Yes,Month-to-Month,85.25,36,Credit Card,4016.19,Yes
0022-TCJCI,Yes,One Year,62.7,45,Credit Card,3271.65,Yes
5130-IEKQT,Yes,Month-to-Month,105.95,25,Credit Card,3813.75,Yes
3269-ATYWD,Yes,Month-to-Month,95.65,39,Bank Withdrawal,5544.32,Yes
0354-WYROK,Yes,Month-to-Month,98.9,31,Bank Withdrawal,4397.75,Yes
7576-OYWBN,Yes,Month-to-Month,76.05,3,Bank Withdrawal,322.55,Yes
5539-TMZLF,Yes,Month-to-Month,69.75,1,Bank Withdrawal,103.59,Yes
3336-JORSO,Yes,Month-to-Month,110.45,33,Bank Withdrawal,4294.37,Yes
6861-XWTWQ,Yes,Month-to-Month,99.25,7,Bank Withdrawal,965.89,Yes
4283-FUTGF,Yes,Month-to-Month,79.85,19,Bank Withdrawal,1790.5700000000002,Yes
2397-BRLOM,Yes,Month-to-Month,80.45,8,Credit Card,799.37,Yes
8510-AWCXC,Yes,Month-to-Month,100.8,13,Bank Withdrawal,1401.9599999999998,Yes
8225-BTJAU,Yes,Month-to-Month,79.25,10,Bank Withdrawal,868.65,Yes
1724-BQUHA,Yes,Month-to-Month,89.5,5,Bank Withdrawal,706.3,Yes
4826-XTSOH,Yes,Month-to-Month,86.05,1,Bank Withdrawal,124.83,Yes
2408-WITXK,Yes,Month-to-Month,34.7,10,Bank Withdrawal,329.8,Yes
2634-HCZGT,Yes,One Year,60.05,53,Bank Withdrawal,4478.16,Yes
7503-QQRVF,Yes,Month-to-Month,74.3,16,Credit Card,1596.17,Yes
0709-TVGUR,Yes,Month-to-Month,74.55,9,Bank Withdrawal,747.6899999999999,Yes
3001-CBHLQ,Yes,Month-to-Month,104.9,32,Bank Withdrawal,4710.14,Yes
4102-OQUPX,Yes,Month-to-Month,74.4,1,Bank Withdrawal,121.76,Yes
3999-QGRJH,Yes,Month-to-Month,69.7,8,Bank Withdrawal,679.97,Yes
2454-RPBRZ,Yes,Month-to-Month,98.1,12,Bank Withdrawal,1378.7,Yes
2265-CYWIV,Yes,Month-to-Month,99.6,4,Bank Withdrawal,397.5,Yes
4550-VBOFE,Yes,Month-to-Month,102.95,70,Bank Withdrawal,8307.76,Yes
7409-KIUTL,Yes,Month-to-Month,71.0,1,Bank Withdrawal,99.64,Yes
1732-VHUBQ,Yes,Month-to-Month,70.55,47,Bank Withdrawal,4548.91,Yes
0679-IDSTG,Yes,Month-to-Month,69.25,1,Bank Withdrawal,106.55,Yes
8802-UNOJF,Yes,Month-to-Month,83.8,12,Credit Card,1408.73,Yes
6313-GIDIT,Yes,Month-to-Month,54.45,53,Bank Withdrawal,2834.3900000000003,Yes
2845-AFFTX,Yes,Month-to-Month,99.8,41,Bank Withdrawal,5175.38,Yes
2815-CPTUL,Yes,Month-to-Month,70.25,5,Credit Card,330.77,Yes
1891-FZYSA,Yes,Month-to-Month,89.95,69,Bank Withdrawal,7373.82,Yes
9685-WKZGT,Yes,Month-to-Month,74.95,14,Bank Withdrawal,1225.94,Yes
6022-UGGSO,Yes,Month-to-Month,74.4,32,Bank Withdrawal,3295.68,Yes
3923-CSIHK,Yes,Month-to-Month,71.05,50,Bank Withdrawal,3674.85,Yes
3677-IYRBF,Yes,Month-to-Month,30.4,2,Bank Withdrawal,78.65,Yes
8118-LSUEL,Yes,Month-to-Month,106.4,23,Bank Withdrawal,2888.76,Yes
5277-ZLOOR,Yes,Month-to-Month,85.55,2,Bank Withdrawal,198.43,Yes
4248-HCETZ,Yes,Month-to-Month,79.65,30,Credit Card,2552.05,Yes
9174-FKWZE,Yes,Month-to-Month,19.45,1,Bank Withdrawal,42.370000000000005,No
5307-DZCVC,Yes,Month-to-Month,85.95,32,Credit Card,4195.0,Yes
8679-JOEVF,Yes,Month-to-Month,59.4,16,Bank Withdrawal,1613.1799999999998,Yes
4803-AXVYP,Yes,Month-to-Month,99.55,38,Bank Withdrawal,5535.07,Yes
5649-ANRML,Yes,Month-to-Month,95.1,2,Credit Card,206.17,Yes
7395-IGJOS,Yes,Month-to-Month,81.5,17,Bank Withdrawal,1490.7,Yes
7890-VYYWG,Yes,Month-to-Month,36.45,3,Credit Card,93.7,Yes
9907-SWKKF,Yes,Month-to-Month,25.05,1,Credit Card,25.05,Yes
6397-JNZZG,Yes,Month-to-Month,55.55,43,Credit Card,2342.2,Yes
7779-LGOVN,Yes,Month-to-Month,86.65,10,Bank Withdrawal,1321.65,Yes
9710-ZUSHQ,Yes,Month-to-Month,106.75,37,Bank Withdrawal,5605.2,Yes
3902-FOIGH,Yes,Month-to-Month,101.35,12,Bank Withdrawal,1800.55,Yes
3318-OSATS,Yes,Month-to-Month,95.45,35,Bank Withdrawal,4782.55,Yes
2636-ALXXZ,Yes,Month-to-Month,69.6,1,Bank Withdrawal,115.4,Yes
9885-CSMWE,Yes,Month-to-Month,78.45,1,Bank Withdrawal,96.82,Yes
8058-JMEQO,Yes,Month-to-Month,84.45,9,Bank Withdrawal,878.69,Yes
7657-DYEPJ,Yes,One Year,70.15,38,Credit Card,2715.85,Yes
8276-MQBYC,Yes,Month-to-Month,97.8,51,Bank Withdrawal,5907.29,Yes
6015-VVHHE,Yes,Month-to-Month,83.15,5,Credit Card,655.2,Yes
2516-VQRRV,Yes,Month-to-Month,75.45,2,Credit Card,205.32,Yes
7580-UGXNC,Yes,Month-to-Month,54.85,2,Credit Card,155.68,Yes
5178-LMXOP,Yes,Month-to-Month,95.1,1,Bank Withdrawal,99.99,Yes
7056-IMHCC,Yes,Month-to-Month,101.9,53,Bank Withdrawal,5970.219999999999,Yes
8749-JMNKX,Yes,Month-to-Month,93.8,51,Bank Withdrawal,5880.09,Yes
0917-EZOLA,Yes,Two Year,104.15,72,Bank Withdrawal,8124.11,Yes
8414-MYSHR,Yes,Month-to-Month,91.4,5,Bank Withdrawal,472.7,Yes
4988-IQIGL,Yes,Month-to-Month,75.35,1,Bank Withdrawal,103.84,Yes
4706-AXVKM,Yes,Month-to-Month,84.8,11,Credit Card,951.95,Yes
5889-JTMUL,Yes,Month-to-Month,95.05,50,Bank Withdrawal,6516.7,Yes
9026-RNUJS,Yes,Month-to-Month,50.35,5,Bank Withdrawal,330.7,Yes
1624-NALOJ,Yes,Month-to-Month,89.8,5,Bank Withdrawal,684.4000000000001,Yes
6210-KBBPI,Yes,Month-to-Month,99.45,9,Credit Card,1015.34,Yes
2260-USTRB,Yes,Month-to-Month,70.2,2,Bank Withdrawal,135.05,Yes
8623-TMRBY,Yes,Month-to-Month,84.2,51,Bank Withdrawal,6368.63,Yes
6900-PXRMS,Yes,Month-to-Month,105.75,26,Bank Withdrawal,2833.01,Yes
3346-BRMIS,Yes,Month-to-Month,48.35,18,Bank Withdrawal,810.7,Yes
2722-JMONI,Yes,Month-to-Month,49.55,1,Bank Withdrawal,73.78999999999999,Yes
7579-OOPEC,Yes,Month-to-Month,50.15,2,Credit Card,128.82,Yes
1771-OADNZ,Yes,Month-to-Month,95.9,29,Bank Withdrawal,3821.22,Yes
0612-RTZZA,Yes,Month-to-Month,25.25,1,Bank Withdrawal,25.25,Yes
4433-JCGCG,Yes,Month-to-Month,101.0,46,Bank Withdrawal,4926.610000000001,Yes
9488-HGMJH,Yes,Month-to-Month,71.15,1,Bank Withdrawal,115.9,Yes
4818-QIUFN,Yes,Month-to-Month,79.15,20,Bank Withdrawal,1757.3000000000002,Yes
6961-VCPMC,Yes,Month-to-Month,80.4,46,Bank Withdrawal,5861.719999999999,Yes
4424-TKOPW,Yes,Month-to-Month,93.85,2,Bank Withdrawal,247.13,Yes
4201-JMNGR,Yes,Month-to-Month,55.8,1,Bank Withdrawal,82.02,Yes
1866-RZZQS,Yes,Month-to-Month,98.4,41,Bank Withdrawal,5912.21,Yes
8631-NBHFZ,Yes,Two Year,79.4,66,Credit Card,7286.58,Yes
4958-XCBDQ,Yes,Month-to-Month,101.4,35,Bank Withdrawal,4885.45,Yes
8337-UPOAQ,Yes,Month-to-Month,89.8,10,Bank Withdrawal,1083.1,Yes
6712-OAWRH,Yes,Month-to-Month,91.25,26,Bank Withdrawal,3253.74,Yes
5914-DVBWJ,Yes,Month-to-Month,85.45,18,Bank Withdrawal,1548.33,Yes
8644-XLFBW,Yes,Month-to-Month,71.65,1,Bank Withdrawal,100.11,Yes
1833-VGRUM,Yes,Month-to-Month,74.2,1,Bank Withdrawal,123.15,Yes
8374-XGEJJ,Yes,Month-to-Month,101.0,43,Bank Withdrawal,5882.15,Yes
6946-LMSQS,Yes,One Year,89.05,25,Bank Withdrawal,3018.2,Yes
4039-HEUNW,Yes,Month-to-Month,96.5,36,Bank Withdrawal,4034.06,Yes
0812-WUPTB,Yes,Month-to-Month,70.85,1,Credit Card,120.45,Yes
2403-BCASL,Yes,One Year,111.95,41,Bank Withdrawal,6381.539999999999,Yes
3871-IKPYH,Yes,Month-to-Month,69.1,1,Bank Withdrawal,85.28999999999999,Yes
1304-NECVQ,Yes,Month-to-Month,78.55,2,Bank Withdrawal,237.47000000000003,Yes
5655-JSMZM,Yes,Month-to-Month,96.2,49,Bank Withdrawal,6303.889999999999,Yes
4505-EXZHB,Yes,Month-to-Month,74.4,6,Bank Withdrawal,507.56,Yes
8972-HJWNV,Yes,Month-to-Month,84.55,7,Bank Withdrawal,796.86,Yes
2860-RANUS,Yes,Month-to-Month,85.8,20,Credit Card,2313.3,Yes
0406-BPDVR,Yes,One Year,101.5,54,Credit Card,7181.56,Yes
5276-KQWHG,Yes,Month-to-Month,69.6,2,Bank Withdrawal,162.29000000000002,Yes
9667-EQRXU,Yes,Month-to-Month,40.3,30,Bank Withdrawal,1272.95,Yes
0946-CLJTI,Yes,Month-to-Month,98.7,58,Bank Withdrawal,5997.04,Yes
0324-BRPCJ,Yes,Month-to-Month,100.2,68,Bank Withdrawal,8302.09,Yes
9189-JWSHV,Yes,Month-to-Month,93.55,24,Bank Withdrawal,2585.17,Yes
0576-WNXXC,Yes,Month-to-Month,95.55,27,Bank Withdrawal,3576.43,Yes
5482-PLVPE,Yes,Month-to-Month,24.35,2,Bank Withdrawal,41.85,Yes
4902-OHLSK,Yes,Month-to-Month,98.65,29,Bank Withdrawal,3471.17,Yes
0495-ZBNGW,Yes,Month-to-Month,79.9,5,Bank Withdrawal,397.25,Yes
2357-COQEK,Yes,Month-to-Month,103.3,28,Bank Withdrawal,3678.57,Yes
2034-CGRHZ,Yes,Month-to-Month,102.95,24,Credit Card,2574.22,Yes
9360-AHGNL,Yes,One Year,109.55,43,Credit Card,5206.5,Yes
5485-WUYWF,Yes,Month-to-Month,66.4,2,Bank Withdrawal,105.69,Yes
2632-UCGVD,Yes,Month-to-Month,100.05,66,Credit Card,10162.0,Yes
6425-YQLLO,Yes,One Year,105.95,66,Credit Card,8806.75,Yes
2091-RFFBA,Yes,Month-to-Month,73.9,31,Bank Withdrawal,2695.48,Yes
6899-PPEEA,Yes,Month-to-Month,96.55,37,Bank Withdrawal,3702.4,Yes
4597-NUCQV,Yes,Month-to-Month,101.25,24,Bank Withdrawal,3135.67,Yes
3754-DXMRT,Yes,Month-to-Month,44.15,2,Bank Withdrawal,179.97,Yes
7130-VTEWQ,Yes,Month-to-Month,75.75,8,Bank Withdrawal,716.65,Yes
7903-CMPEY,Yes,Month-to-Month,80.3,1,Bank Withdrawal,97.81,Yes
1704-NRWYE,Yes,Month-to-Month,80.85,9,Bank Withdrawal,1141.71,Yes
7481-ATQQS,Yes,Month-to-Month,90.85,49,Credit Card,6714.970000000001,Yes
0023-HGHWL,Yes,Month-to-Month,25.1,1,Bank Withdrawal,25.1,Yes
1792-UXAFY,Yes,Month-to-Month,89.15,17,Bank Withdrawal,2013.19,Yes
6161-UUUTA,Yes,Month-to-Month,79.9,3,Bank Withdrawal,269.84,Yes
6543-XRMYR,Yes,Month-to-Month,99.7,30,Bank Withdrawal,4355.65,Yes
2479-BRAMR,Yes,Month-to-Month,83.75,41,Bank Withdrawal,5152.99,Yes
3714-JTVOV,Yes,Month-to-Month,74.15,42,Credit Card,3351.2000000000003,Yes
8580-QVLOC,Yes,Two Year,92.45,72,Credit Card,8295.69,Yes
2012-NWRPA,Yes,Month-to-Month,99.55,11,Bank Withdrawal,1145.28,Yes
8808-ELEHO,Yes,Month-to-Month,81.25,8,Bank Withdrawal,626.11,Yes
9058-CBREO,Yes,Month-to-Month,50.55,1,Credit Card,73.11,Yes
8063-GBATB,Yes,Month-to-Month,85.25,27,Bank Withdrawal,3128.84,Yes
1069-XAIEM,Yes,Month-to-Month,85.05,1,Bank Withdrawal,101.42,Yes
6987-XQSJT,Yes,Month-to-Month,79.5,54,Bank Withdrawal,6841.83,Yes
0722-TROQR,Yes,Month-to-Month,74.9,4,Bank Withdrawal,426.67,Yes
6402-ZFPPI,Yes,Month-to-Month,102.8,25,Credit Card,3572.7,Yes
9965-YOKZB,Yes,Month-to-Month,83.85,9,Bank Withdrawal,880.51,Yes
0504-HHAPI,Yes,Month-to-Month,88.3,27,Credit Card,2925.13,Yes
3791-LGQCY,Yes,Month-to-Month,100.65,56,Bank Withdrawal,7711.41,Yes
8166-ZZTFS,Yes,Two Year,80.55,66,Bank Withdrawal,6697.3,Yes
2956-GGUCQ,Yes,Month-to-Month,78.85,24,Bank Withdrawal,1821.45,Yes
